,Year,Solar_Cycle_Maxima
0,1829.316,86.13073237508559
1,1837.801,88.37097878165665
2,1849.382,144.80013689253943
3,1860.616,158.81861738535255
4,1871.325,182.77686516084862
5,1883.558,103.22313483915127
6,1893.99,125.09993155373027
7,1906.763,96.10335386721434
8,1918.229,127.80013689253938
9,1927.648,115.42642026009574
10,1937.851,164.28199863107474
11,1948.452,191.11635865845295
12,1958.119,242.52019164955504
13,1968.999,145.072553045859
14,1980.665,201.89938398357265
15,1990.404,191.12388774811757
16,2001.114,162.45448323066407
17,2013.525,95.62422997946614
