,Year,Sunspot_Number
0,1818.001,32.56674851670656
1,1818.004,32.554449246849295
2,1818.007,32.54213871113081
3,1818.01,32.52981690955111
4,1818.012,32.517483842110195
5,1818.015,32.505139508808064
6,1818.018,32.492783909644714
7,1818.021,32.480417044620154
8,1818.023,32.468038913734375
9,1818.026,32.45564951698738
10,1818.029,32.44324885437917
11,1818.032,32.430836925909745
12,1818.034,32.4184137315791
13,1818.037,32.405979271387245
14,1818.04,32.39353354533417
15,1818.042,32.38107655341988
16,1818.045,32.36860829564438
17,1818.048,32.35612877200766
18,1818.051,32.343637982509726
19,1818.053,32.33113592715058
20,1818.056,32.31862260593021
21,1818.059,32.30609801884862
22,1818.062,32.293562165905826
23,1818.064,32.28101504710181
24,1818.067,32.268456662436584
25,1818.07,32.25588701191014
26,1818.073,32.24330609552248
27,1818.075,32.2307139132736
28,1818.078,32.218110465163505
29,1818.081,32.2054957511922
30,1818.084,32.192869771359675
31,1818.086,32.180232525665936
32,1818.089,32.16758401411098
33,1818.092,32.15492423669481
34,1818.095,32.142253193417424
35,1818.097,32.12957088427882
36,1818.1,32.116877309279005
37,1818.103,32.10417246841797
38,1818.105,32.09145636169572
39,1818.108,32.07872898911226
40,1818.111,32.065990350667576
41,1818.114,32.05324044636168
42,1818.116,32.04047927619457
43,1818.119,32.02770684016624
44,1818.122,32.01492313827669
45,1818.125,32.002128170525936
46,1818.127,31.98932193691396
47,1818.13,31.97650443744077
48,1818.133,31.963675672106362
49,1818.136,31.950835640910743
50,1818.138,31.937984343853906
51,1818.141,31.92512178093585
52,1818.144,31.91224795215658
53,1818.147,31.899362857516095
54,1818.149,31.886466497014396
55,1818.152,31.87355887065148
56,1818.155,31.860639978427347
57,1818.158,31.847709820342
58,1818.16,31.834768396395436
59,1818.163,31.821815706587657
60,1818.166,31.808851750918663
61,1818.168,31.795876529388455
62,1818.171,31.782890041997028
63,1818.174,31.769892288744387
64,1818.177,31.756883269630528
65,1818.179,31.743862984655454
66,1818.182,31.730831433819166
67,1818.185,31.717788617121663
68,1818.188,31.70473453456294
69,1818.19,31.691669186143006
70,1818.193,31.678592571861852
71,1818.196,31.665504691719487
72,1818.199,31.652405545715904
73,1818.201,31.639295133851103
74,1818.204,31.62617345612509
75,1818.207,31.61304051253786
76,1818.21,31.599896303089416
77,1818.212,31.586740827779753
78,1818.215,31.573574086608875
79,1818.218,31.560396079576783
80,1818.221,31.547206806683473
81,1818.223,31.53400626792895
82,1818.226,31.52079446331321
83,1818.229,31.507571392836255
84,1818.232,31.494337056498082
85,1818.234,31.481091454298696
86,1818.237,31.467834586238094
87,1818.24,31.454566452316275
88,1818.242,31.44128705253324
89,1818.245,31.427996386888992
90,1818.248,31.414694455383525
91,1818.251,31.401381258016844
92,1818.253,31.388056794788948
93,1818.256,31.374721065699834
94,1818.259,31.361374070749505
95,1818.262,31.348015809937962
96,1818.264,31.3346462832652
97,1818.267,31.32126549073123
98,1818.27,31.307873432336038
99,1818.273,31.29447010807963
100,1818.275,31.281055517962006
101,1818.278,31.267629661983168
102,1818.281,31.254192540143116
103,1818.284,31.240744152441845
104,1818.286,31.22728449887936
105,1818.289,31.21381357945566
106,1818.292,31.200331394170743
107,1818.295,31.18683794302461
108,1818.297,31.173333226017263
109,1818.3,31.159817243148698
110,1818.303,31.146289994418918
111,1818.305,31.132751479827924
112,1818.308,31.11920169937571
113,1818.311,31.105640653062284
114,1818.314,31.092068340887643
115,1818.316,31.078484762851787
116,1818.319,31.064889918954712
117,1818.322,31.051283809196423
118,1818.325,31.037666433576916
119,1818.327,31.0240377920962
120,1818.33,31.010397884754262
121,1818.333,30.996746711551108
122,1818.336,30.983084272486742
123,1818.338,30.96941056756116
124,1818.341,30.955725596774357
125,1818.344,30.942029360126345
126,1818.347,30.928321857617114
127,1818.349,30.91460308924667
128,1818.352,30.900873055015005
129,1818.355,30.887131754922127
130,1818.358,30.873379188968034
131,1818.36,30.859615357152723
132,1818.363,30.8458402594762
133,1818.366,30.832053895938458
134,1818.368,30.818256266539503
135,1818.371,30.80444737127933
136,1818.374,30.790627210157943
137,1818.377,30.77679578317534
138,1818.379,30.76295309033152
139,1818.382,30.749099131626487
140,1818.385,30.735233907060238
141,1818.388,30.72135741663277
142,1818.39,30.70746966034409
143,1818.393,30.693570638194192
144,1818.396,30.679660350183077
145,1818.399,30.665738796310748
146,1818.401,30.651805976577204
147,1818.404,30.637861890982446
148,1818.407,30.62390653952647
149,1818.41,30.60993992220928
150,1818.412,30.59596203903087
151,1818.415,30.581972889991246
152,1818.418,30.567972475090407
153,1818.421,30.553960794328354
154,1818.423,30.539937847705083
155,1818.426,30.525903635220597
156,1818.429,30.511858156874897
157,1818.432,30.49780141266798
158,1818.434,30.483733402599846
159,1818.437,30.4696541266705
160,1818.44,30.455563584879933
161,1818.442,30.441461777228152
162,1818.445,30.427348703715158
163,1818.448,30.413224364340948
164,1818.451,30.39908875910552
165,1818.453,30.38494188800888
166,1818.456,30.370783751051018
167,1818.459,30.356614348231943
168,1818.462,30.342433679551654
169,1818.464,30.32824174501015
170,1818.467,30.314038544607428
171,1818.47,30.29982407834349
172,1818.473,30.28559834621834
173,1818.475,30.27136134823197
174,1818.478,30.257113084384386
175,1818.481,30.242853554675587
176,1818.484,30.22858275910557
177,1818.486,30.21430069767434
178,1818.489,30.200007370381893
179,1818.492,30.18570277722823
180,1818.495,30.171386918213354
181,1818.497,30.157059793337258
182,1818.5,30.14272140259995
183,1818.503,30.128371746001424
184,1818.505,30.114010823541683
185,1818.508,30.099638635220728
186,1818.511,30.085255181038555
187,1818.514,30.070860460995167
188,1818.516,30.05645447509056
189,1818.519,30.042037223324744
190,1818.522,30.02760870569771
191,1818.525,30.013168922209456
192,1818.527,29.99871787285999
193,1818.53,29.98425555764931
194,1818.533,29.96978197657741
195,1818.536,29.955297129644297
196,1818.538,29.940801016849967
197,1818.541,29.926293638194423
198,1818.544,29.91177499367766
199,1818.547,29.897245083299687
200,1818.549,29.882703907060492
201,1818.552,29.868151464960086
202,1818.555,29.85358775699846
203,1818.558,29.839012783175622
204,1818.56,29.82442654349157
205,1818.563,29.809829037946297
206,1818.566,29.79522026653981
207,1818.568,29.78060022927211
208,1818.571,29.76596892614319
209,1818.574,29.751326357153058
210,1818.577,29.73667252230171
211,1818.579,29.722007421589144
212,1818.582,29.707331055015363
213,1818.585,29.692643422580367
214,1818.588,29.677944524284158
215,1818.59,29.66323436012673
216,1818.593,29.648512930108083
217,1818.596,29.633780234228226
218,1818.599,29.61903627248715
219,1818.601,29.60428104488486
220,1818.604,29.589514551421356
221,1818.607,29.574736792096633
222,1818.61,29.559947766910696
223,1818.612,29.545147475863544
224,1818.615,29.530335918955174
225,1818.618,29.51551309618559
