,Descending_Time,Solar_Cycle_Maxima
0,4.367999999999938,188.45195075986035
1,6.194000000000187,234.64250657039713
2,7.19399999999996,118.114917984856
3,7.185999999999922,146.1274748025448
4,8.29600000000005,105.37961365669231
5,5.723999999999933,167.81725377116283
6,8.288000000000011,128.86276693784376
7,8.169999999999845,196.8642652098516
8,5.653999999999996,215.57420893747127
9,6.115000000000009,283.725563704944
10,6.739000000000033,156.36559545658505
11,6.860000000000127,231.2193221667326
12,6.814000000000078,216.4076176813388
13,6.085000000000036,177.668709480561
14,5.920000000000073,113.59865706039491
