,Year,Solar_Cycle_Maxima
0,1829.316,94.08685339361514
1,1837.744,97.22838009703662
2,1849.182,175.54789346229342
3,1860.133,188.44375655333667
4,1870.768,234.6323039211259
5,1884.261,118.10978215034969
6,1893.467,146.12112093514014
7,1905.815,105.37503157455322
8,1917.547,167.80995679583233
9,1927.985,128.85716376885964
10,1937.705,196.85570522180316
11,1947.725,215.56483540972553
12,1958.119,283.71322684212225
13,1969.982,156.35879641854302
14,1979.955,231.20926836325444
15,1989.664,216.3982079155845
16,2002.16,177.66098414743288
17,2014.295,113.59371760047924
