,Descending_Time,Solar_Cycle_Maxima
0,4.367999999999938,188.4448618208975
1,6.194000000000187,234.63368009552806
2,7.19399999999996,118.11047489238136
3,7.185999999999922,146.12197797035225
4,8.29600000000005,105.37564962423649
5,5.723999999999933,167.81094104123736
6,8.288000000000011,128.85791954684717
7,8.169999999999845,196.85685982744798
8,5.653999999999996,215.56609974888022
9,6.115000000000009,283.71489088784045
10,6.739000000000033,156.35971350016274
11,6.860000000000127,231.21062446073762
12,6.814000000000078,216.39947714266708
13,6.085000000000036,177.66202617146234
14,5.920000000000073,113.5943838547157
