,Year,Solar_Cycle_Maxima
0,1829.804,93.09875994968336
1,1837.39,98.96281103449621
2,1848.963,168.5125512160089
3,1860.242,187.96863902615078
4,1871.059,212.95413330973176
5,1883.966,111.57450775473454
6,1893.722,143.48306716058985
7,1906.253,104.8473816761537
8,1918.026,157.16308148733327
9,1927.451,124.49070290818229
10,1938.16,193.0165618049397
11,1947.845,213.4202817104555
12,1957.974,282.642733182535
13,1969.432,158.51875362675852
14,1980.523,227.1462150924745
15,1990.511,213.49288933813457
16,2001.221,177.89498682111903
17,2014.064,105.30666657530732
