,Year,Solar_Cycle_Maxima
0,1829.316,94.08740523544232
1,1837.744,97.22895036466696
2,1849.182,175.54892309254203
3,1860.133,188.4448618208975
4,1870.768,234.63368009552806
5,1884.261,118.11047489238136
6,1893.467,146.12197797035225
7,1905.815,105.37564962423649
8,1917.547,167.81094104123736
9,1927.985,128.85791954684717
10,1937.705,196.85685982744798
11,1947.725,215.56609974888022
12,1958.119,283.71489088784045
13,1969.982,156.35971350016274
14,1979.955,231.21062446073762
15,1989.664,216.39947714266708
16,2002.16,177.66202617146234
17,2014.295,113.5943838547157
